reservation_id,client_id,destination,booking_date,travel_date,duration_nights,n_travelers,price_per_night,total_price,nationality,client_age
RES001326,CLI00736,Marrakech,2021-11-11,2022-03-08,4,1,836.83,3347.32,Espagne,46
RES006004,CLI02894,Fes,2021-11-12,2022-02-06,7,3,198.25,1804.08,Belgique,49
RES008817,CLI02935,Merzouga,2021-11-12,2022-01-01,3,2,198.72,685.58,Espagne,53
RES012030,CLI05406,Tanger,2021-11-12,2022-01-17,3,2,164.02,565.87,France,51
RES011742,CLI08050,Merzouga,2021-11-13,2022-01-30,6,2,251.65,1736.38,Royaume-Uni,50
RES003822,CLI00181,Merzouga,2021-11-13,2022-02-15,6,4,241.34,2099.66,Autre,19
RES011031,CLI03462,Tanger,2021-11-14,2022-01-10,9,2,180.34,1866.52,Maroc,41
RES012201,CLI02218,Chefchaouen,2021-11-15,2022-02-09,4,1,152.94,611.76,Espagne,34
RES018808,CLI02917,Agadir,2021-11-15,2022-02-16,1,3,238.73,310.35,France,28
RES022042,CLI05815,Marrakech,2021-11-16,2022-04-07,5,3,627.96,4081.74,Maroc,46
RES013177,CLI07393,Agadir,2021-11-16,2022-01-18,5,3,226.17,1470.11,Maroc,65
RES019649,CLI02400,Marrakech,2021-11-17,2022-05-16,9,3,782.76,9158.29,Maroc,60
RES007490,CLI06361,Essaouira,2021-11-17,2022-02-15,5,2,178.51,1026.43,Espagne,52
RES015427,CLI00355,Essaouira,2021-11-17,2022-01-04,4,1,89.83,359.32,Maroc,37
RES003205,CLI07367,Chefchaouen,2021-11-18,2022-01-16,6,2,116.36,802.88,Etats-Unis,38
RES020840,CLI01785,Marrakech,2021-11-18,2022-01-30,6,2,223.21,1540.15,Maroc,55
RES024711,CLI07678,Essaouira,2021-11-18,2022-02-15,5,1,137.62,688.1,France,55
RES012184,CLI05403,Agadir,2021-11-18,2022-01-13,6,1,196.31,1177.86,France,23
RES012054,CLI07754,Fes,2021-11-19,2022-01-11,4,4,243.44,1411.95,France,40
RES023230,CLI02726,Marrakech,2021-11-20,2022-03-30,5,2,701.55,4033.91,Allemagne,35
RES000152,CLI04107,Fes,2021-11-21,2022-01-06,5,6,176.91,1547.96,Autre,27
RES004309,CLI04457,Casablanca,2021-11-21,2022-02-09,5,4,203.8,1477.55,Espagne,40
RES009620,CLI03359,Chefchaouen,2021-11-21,2022-01-23,2,2,152.57,350.91,Maroc,71
RES013966,CLI03684,Casablanca,2021-11-21,2022-01-26,5,2,202.75,1165.81,France,32
RES000493,CLI05536,Marrakech,2021-11-23,2022-04-04,8,2,628.21,5779.53,Royaume-Uni,37
RES006277,CLI03197,Casablanca,2021-11-23,2022-01-28,4,2,193.54,890.28,Maroc,25
RES019675,CLI01141,Chefchaouen,2021-11-24,2022-01-05,2,3,142.0,369.2,France,33
RES020077,CLI03067,Fes,2021-11-24,2022-04-04,3,3,688.55,2685.34,Etats-Unis,62
RES023688,CLI02442,Merzouga,2021-11-24,2022-02-01,4,2,227.12,1044.75,Maroc,39
RES024517,CLI07848,Agadir,2021-11-25,2022-01-08,6,3,151.41,1181.0,Allemagne,28
RES014817,CLI00611,Marrakech,2021-11-26,2022-02-06,8,1,193.75,1550.0,Etats-Unis,38
RES015073,CLI00069,Fes,2021-11-28,2022-04-22,6,2,530.33,3659.28,France,47
RES011743,CLI06507,Marrakech,2021-11-28,2022-04-12,4,2,482.18,2218.03,Espagne,37
RES014599,CLI06957,Chefchaouen,2021-11-28,2022-01-12,4,1,136.12,544.48,Espagne,56
RES011416,CLI05565,Merzouga,2021-11-28,2022-01-27,8,2,259.18,2384.46,Belgique,18
RES019667,CLI00532,Chefchaouen,2021-11-28,2022-02-22,3,1,136.23,408.69,France,18
RES004398,CLI06637,Marrakech,2021-11-28,2022-04-01,3,2,781.43,2695.93,Espagne,28
RES014302,CLI07576,Marrakech,2021-11-28,2022-03-12,6,3,698.68,5449.7,Espagne,48
RES022008,CLI00695,Marrakech,2021-11-28,2022-03-06,4,4,659.38,3824.4,France,52
RES010659,CLI05289,Agadir,2021-11-29,2022-01-25,5,2,247.05,1420.54,France,41
RES012843,CLI03509,Fes,2021-11-29,2022-02-11,9,2,174.13,1802.25,Allemagne,52
RES010349,CLI06707,Chefchaouen,2021-11-30,2022-02-03,7,2,164.65,1325.43,Maroc,27
RES005038,CLI01921,Marrakech,2021-11-30,2022-03-07,2,2,598.73,1377.08,France,51
RES011816,CLI04025,Agadir,2021-11-30,2022-01-01,6,5,207.64,1993.34,France,47
RES016468,CLI07661,Agadir,2021-11-30,2022-01-22,1,4,232.62,337.3,France,46
RES003889,CLI05342,Marrakech,2021-11-30,2022-03-12,7,1,659.23,4614.61,Belgique,41
RES021915,CLI07392,Fes,2021-11-30,2022-04-08,6,2,553.82,3821.36,Maroc,40
RES025000,CLI00522,Marrakech,2021-11-30,2022-03-02,1,2,618.19,710.92,Maroc,31
RES020368,CLI00548,Marrakech,2021-12-01,2022-03-23,5,2,771.81,4437.91,France,24
RES014884,CLI01680,Agadir,2021-12-01,2022-02-27,3,2,172.82,596.23,Maroc,18
RES011074,CLI02804,Agadir,2021-12-01,2022-01-19,3,3,188.06,733.43,Maroc,23
RES016368,CLI05494,Chefchaouen,2021-12-02,2022-01-19,5,1,77.95,389.75,Maroc,43
RES014972,CLI01550,Essaouira,2021-12-02,2022-01-03,5,3,213.18,1385.67,Etats-Unis,51
RES003457,CLI01798,Chefchaouen,2021-12-02,2022-01-02,6,4,139.21,1211.13,Maroc,26
RES023563,CLI00072,Marrakech,2021-12-02,2022-05-02,4,3,764.95,3977.74,France,46
RES004449,CLI04722,Tanger,2021-12-03,2022-02-04,3,6,167.19,877.75,Espagne,44
RES014035,CLI07246,Agadir,2021-12-03,2022-03-10,4,1,211.01,844.04,Maroc,21
RES012641,CLI06249,Fes,2021-12-03,2022-03-15,6,2,534.62,3688.88,Royaume-Uni,51
RES006965,CLI01295,Essaouira,2021-12-04,2022-01-17,7,2,200.63,1615.07,Maroc,48
RES008100,CLI00830,Marrakech,2021-12-04,2022-01-24,5,1,232.97,1164.85,Autre,37
RES008786,CLI06397,Chefchaouen,2021-12-04,2022-01-10,7,3,138.21,1257.71,Royaume-Uni,39
RES021599,CLI06287,Fes,2021-12-05,2022-04-30,7,2,660.15,5314.21,France,23
RES002667,CLI07676,Marrakech,2021-12-05,2022-01-21,4,2,243.25,1118.95,Maroc,62
RES019805,CLI03472,Marrakech,2021-12-05,2022-03-19,6,5,644.5,6187.2,Maroc,27
RES011677,CLI02244,Marrakech,2021-12-05,2022-01-28,4,2,270.15,1242.69,Maroc,52
RES016638,CLI02745,Fes,2021-12-06,2022-01-24,4,1,207.91,831.64,Royaume-Uni,41
RES010045,CLI03794,Marrakech,2021-12-06,2022-02-15,3,4,209.17,909.89,Maroc,33
RES011211,CLI08153,Merzouga,2021-12-06,2022-03-29,5,1,739.31,3696.55,Autre,40
RES005948,CLI05281,Fes,2021-12-06,2022-01-24,4,3,205.06,1066.31,France,34
RES011774,CLI05454,Essaouira,2021-12-06,2022-03-16,1,4,186.78,270.83,Royaume-Uni,44
RES021981,CLI06084,Tanger,2021-12-07,2022-01-17,3,4,125.8,547.23,Espagne,47
RES009339,CLI01851,Casablanca,2021-12-07,2022-01-20,4,2,162.2,746.12,Belgique,18
RES004060,CLI08024,Fes,2021-12-07,2022-01-14,6,2,194.83,1344.33,Espagne,28
RES002690,CLI05417,Tanger,2021-12-07,2022-02-07,3,4,151.97,661.07,France,44
RES021952,CLI02277,Tanger,2021-12-07,2022-01-16,8,4,143.94,1669.7,Royaume-Uni,47
RES016255,CLI05466,Marrakech,2021-12-08,2022-03-24,1,5,737.22,1179.55,Maroc,23
RES009704,CLI03921,Marrakech,2021-12-08,2022-01-10,5,4,188.36,1365.61,Maroc,24
RES016939,CLI05278,Tanger,2021-12-08,2022-02-12,6,4,158.3,1377.21,France,18
RES003987,CLI01359,Fes,2021-12-09,2022-03-10,4,2,591.84,2722.46,Maroc,47
RES018209,CLI06197,Marrakech,2021-12-09,2022-01-30,3,6,208.61,1095.2,Maroc,50
RES002284,CLI05707,Agadir,2021-12-09,2022-01-14,7,1,234.3,1640.1,Allemagne,40
RES012724,CLI03691,Merzouga,2021-12-09,2022-01-12,3,1,257.38,772.14,Maroc,18
RES012461,CLI03572,Fes,2021-12-09,2022-01-03,2,3,188.14,489.16,Maroc,41
RES016252,CLI05657,Agadir,2021-12-09,2022-01-27,2,2,202.87,466.6,Espagne,42
RES024799,CLI01096,Marrakech,2021-12-10,2022-01-21,3,2,172.07,593.64,Espagne,37
RES007690,CLI03476,Marrakech,2021-12-10,2022-04-15,5,2,628.96,3616.52,Belgique,39
RES002524,CLI01195,Chefchaouen,2021-12-10,2022-01-17,4,3,167.62,871.62,Allemagne,31
RES006255,CLI04134,Marrakech,2021-12-11,2022-01-15,6,1,178.25,1069.5,France,33
RES019488,CLI02488,Essaouira,2021-12-11,2022-01-11,7,2,120.69,971.55,France,48
RES004557,CLI05854,Agadir,2021-12-11,2022-02-22,7,4,231.77,2352.47,Espagne,19
RES019033,CLI04086,Fes,2021-12-11,2022-01-28,6,2,171.62,1184.18,Espagne,18
RES022522,CLI02122,Chefchaouen,2021-12-11,2022-01-10,1,3,124.24,161.51,Maroc,18
RES005341,CLI00196,Fes,2021-12-11,2022-02-07,6,2,189.95,1310.65,Espagne,18
RES002408,CLI04934,Chefchaouen,2021-12-11,2022-01-16,5,3,148.13,962.85,Espagne,54
RES008568,CLI01813,Tanger,2021-12-11,2022-01-25,5,2,168.13,966.75,Maroc,22
RES012005,CLI07998,Agadir,2021-12-12,2022-02-14,4,4,158.07,916.81,Allemagne,28
RES024345,CLI06350,Merzouga,2021-12-12,2022-01-16,6,4,290.92,2531.0,France,49
RES019342,CLI06921,Casablanca,2021-12-12,2022-01-31,5,4,147.4,1068.65,Royaume-Uni,30
RES012964,CLI03096,Marrakech,2021-12-12,2022-04-24,1,1,733.08,733.08,Espagne,28
RES003642,CLI07709,Essaouira,2021-12-12,2022-05-12,7,2,221.78,1785.33,Belgique,33
RES011804,CLI00668,Marrakech,2021-12-12,2022-03-07,5,2,607.4,3492.55,Belgique,23
RES019645,CLI07603,Casablanca,2021-12-12,2022-01-11,5,2,134.0,770.5,Allemagne,49
RES007239,CLI07154,Essaouira,2021-12-13,2022-06-10,6,2,525.7,3627.33,France,36
RES009678,CLI05841,Agadir,2021-12-13,2022-01-20,2,1,219.34,438.68,Allemagne,48
RES001979,CLI07370,Agadir,2021-12-13,2022-02-26,4,4,218.68,1268.34,France,47
RES005088,CLI06519,Marrakech,2021-12-14,2022-02-14,7,2,213.94,1722.22,Maroc,42
RES008942,CLI02727,Casablanca,2021-12-14,2022-02-27,5,1,161.85,809.25,Maroc,38
RES000641,CLI05635,Marrakech,2021-12-14,2022-01-22,8,4,258.65,3000.34,Allemagne,42
RES022360,CLI03715,Fes,2021-12-14,2022-01-03,2,2,219.22,504.21,Royaume-Uni,53
RES004560,CLI07345,Fes,2021-12-15,2022-04-25,5,2,640.46,3682.64,France,41
RES006921,CLI01776,Agadir,2021-12-16,2022-02-11,5,2,205.72,1182.89,France,37
RES006166,CLI07336,Tanger,2021-12-16,2022-02-10,6,2,140.35,968.41,Allemagne,24
RES003289,CLI05299,Fes,2021-12-16,2022-02-23,6,4,189.79,1651.17,Allemagne,40
RES014853,CLI07985,Fes,2021-12-16,2022-05-04,4,2,553.43,2545.78,Etats-Unis,50
RES020162,CLI05329,Fes,2021-12-17,2022-01-16,1,2,200.38,230.44,Royaume-Uni,36
RES017847,CLI04795,Casablanca,2021-12-17,2022-01-04,7,2,200.29,1612.33,Maroc,32
RES008716,CLI01042,Tanger,2021-12-17,2022-01-07,5,2,190.75,1096.81,Maroc,61
RES023326,CLI03753,Chefchaouen,2021-12-18,2022-01-20,6,1,133.01,798.06,Maroc,34
RES008997,CLI04978,Tanger,2021-12-18,2022-01-02,7,4,163.02,1654.65,France,39
RES005538,CLI02861,Marrakech,2021-12-18,2022-03-19,5,2,696.11,4002.63,Autre,18
RES021248,CLI04721,Marrakech,2021-12-18,2022-03-21,4,2,807.54,3714.68,Maroc,29
RES005084,CLI01346,Marrakech,2021-12-18,2022-01-02,4,2,209.4,963.24,Maroc,38
RES002651,CLI02235,Casablanca,2021-12-18,2022-02-26,5,4,189.86,1376.49,France,41
RES019289,CLI00728,Marrakech,2021-12-18,2022-01-28,5,1,176.49,882.45,Maroc,28
RES016453,CLI06761,Fes,2021-12-19,2022-01-07,6,4,136.66,1188.94,Maroc,20
RES004876,CLI03488,Agadir,2021-12-19,2022-01-02,4,2,190.29,875.33,France,44
RES016322,CLI06672,Marrakech,2021-12-19,2022-03-12,2,4,734.43,2129.85,France,52
RES008160,CLI02800,Marrakech,2021-12-19,2022-01-08,5,5,204.19,1633.52,Maroc,47
RES024083,CLI07801,Marrakech,2021-12-19,2022-02-16,4,4,206.53,1197.87,Maroc,44
RES002716,CLI00344,Agadir,2021-12-20,2022-02-10,3,4,257.22,1118.91,France,26
RES019921,CLI07755,Marrakech,2021-12-20,2022-01-04,5,4,291.75,2115.19,Espagne,30
RES012124,CLI00270,Fes,2021-12-20,2022-01-07,5,2,163.28,938.86,Allemagne,30
RES024484,CLI00684,Marrakech,2021-12-20,2022-03-11,8,2,807.05,7424.86,Maroc,44
RES019588,CLI04511,Essaouira,2021-12-20,2022-01-23,6,1,200.7,1204.2,France,21
RES019452,CLI06902,Tanger,2021-12-20,2022-01-06,3,2,127.94,441.39,Maroc,35
RES008319,CLI06203,Essaouira,2021-12-20,2022-01-06,8,2,222.95,2051.14,Maroc,52
RES012386,CLI01544,Fes,2021-12-20,2022-01-31,6,5,192.57,1848.67,France,62
RES020353,CLI04971,Casablanca,2021-12-20,2022-01-10,4,6,163.31,1143.17,Espagne,33
RES005179,CLI00911,Agadir,2021-12-20,2022-01-27,3,1,211.92,635.76,Espagne,25
RES001974,CLI03993,Fes,2021-12-21,2022-01-19,1,4,180.79,262.15,France,33
RES003302,CLI03243,Chefchaouen,2021-12-21,2022-01-05,6,2,165.82,1144.16,Espagne,41
RES024236,CLI05020,Tanger,2021-12-21,2022-04-17,5,2,163.25,938.69,France,35
RES002682,CLI06815,Merzouga,2021-12-21,2022-03-27,2,2,471.36,1084.13,Royaume-Uni,44
RES019913,CLI01153,Fes,2021-12-21,2022-02-07,4,4,212.26,1231.11,Maroc,35
RES019791,CLI03430,Marrakech,2021-12-21,2022-05-30,4,3,606.69,3154.79,France,33
RES022309,CLI04024,Marrakech,2021-12-22,2022-01-09,1,3,277.6,360.88,Maroc,30
RES020395,CLI01273,Agadir,2021-12-22,2022-01-31,4,3,189.9,987.48,France,54
RES001594,CLI05086,Chefchaouen,2021-12-22,2022-01-22,8,2,146.68,1349.46,Maroc,49
RES008685,CLI05956,Essaouira,2021-12-22,2022-03-07,7,6,158.11,1936.85,Espagne,39
RES003608,CLI07489,Essaouira,2021-12-22,2022-01-02,3,3,195.99,764.36,Maroc,30
RES013122,CLI01383,Essaouira,2021-12-23,2022-01-11,9,3,182.79,2138.64,Maroc,29
RES016662,CLI07366,Merzouga,2021-12-23,2022-02-18,7,3,334.57,3044.59,Royaume-Uni,20
RES003836,CLI06470,Tanger,2021-12-23,2022-01-24,3,2,158.45,546.65,Etats-Unis,18
RES018222,CLI05031,Casablanca,2021-12-23,2022-01-22,4,6,157.66,1103.62,Belgique,25
RES011543,CLI01548,Chefchaouen,2021-12-23,2022-01-02,3,2,144.74,499.35,France,38
RES019899,CLI07716,Marrakech,2021-12-23,2022-03-09,7,2,708.8,5705.84,Royaume-Uni,42
RES008337,CLI05732,Marrakech,2021-12-23,2022-03-09,4,3,594.72,3092.54,Espagne,39
RES000784,CLI02225,Marrakech,2021-12-24,2022-02-02,3,4,227.43,989.32,Espagne,35
RES022413,CLI04090,Marrakech,2021-12-24,2022-03-08,5,2,562.36,3233.57,Royaume-Uni,45
RES024827,CLI08226,Tanger,2021-12-24,2022-01-23,7,3,174.34,1586.49,Royaume-Uni,21
RES016375,CLI00589,Tanger,2021-12-24,2022-01-25,7,2,161.42,1299.43,Maroc,31
RES021247,CLI00222,Fes,2021-12-24,2022-02-13,5,1,165.07,825.35,France,56
RES017600,CLI06513,Essaouira,2021-12-24,2022-01-23,5,3,196.43,1276.8,Etats-Unis,33
RES021947,CLI02261,Marrakech,2021-12-24,2022-03-15,5,3,805.09,5233.09,Allemagne,44
RES014006,CLI03370,Marrakech,2021-12-24,2022-01-10,6,2,278.2,1919.58,Espagne,22
RES023905,CLI02135,Fes,2021-12-25,2022-02-20,2,2,149.94,344.86,Etats-Unis,30
RES020658,CLI02288,Chefchaouen,2021-12-25,2022-04-16,3,2,366.72,1265.18,France,40
RES017018,CLI08034,Essaouira,2021-12-25,2022-01-08,7,4,143.33,1454.8,Royaume-Uni,23
RES013618,CLI05458,Tanger,2021-12-25,2022-01-18,4,2,150.85,693.91,Maroc,27
RES006095,CLI02597,Casablanca,2021-12-25,2022-01-02,6,2,184.89,1275.74,Autre,38
RES001580,CLI07514,Chefchaouen,2021-12-25,2022-01-12,3,2,131.72,454.43,Royaume-Uni,63
RES015708,CLI03377,Agadir,2021-12-25,2022-02-03,5,3,176.13,1144.85,Maroc,33
RES021630,CLI01588,Marrakech,2021-12-25,2022-04-03,7,1,635.39,4447.73,Belgique,22
RES024321,CLI03380,Marrakech,2021-12-25,2022-04-04,4,1,717.14,2868.56,Autre,21
RES018221,CLI00279,Agadir,2021-12-26,2022-01-18,6,2,238.7,1647.03,Maroc,30
RES005225,CLI06231,Tanger,2021-12-26,2022-01-19,3,2,167.86,579.12,Allemagne,36
RES000874,CLI01436,Tanger,2021-12-26,2022-01-25,7,2,127.22,1024.12,Autre,36
RES013779,CLI04885,Marrakech,2021-12-26,2022-01-02,4,5,205.09,1312.58,France,36
RES021585,CLI04526,Merzouga,2021-12-26,2022-02-01,5,1,297.22,1486.1,Maroc,18
RES016838,CLI07110,Fes,2021-12-26,2022-01-01,5,2,198.91,1143.73,Espagne,35
RES020795,CLI01461,Casablanca,2021-12-26,2022-01-20,5,4,188.72,1368.22,Maroc,25
RES017212,CLI06006,Merzouga,2021-12-26,2022-01-15,5,4,234.93,1703.24,France,26
RES008629,CLI04645,Essaouira,2021-12-26,2022-03-10,6,3,204.84,1597.75,Allemagne,43
RES011912,CLI02724,Chefchaouen,2021-12-27,2022-01-16,6,2,157.6,1087.44,Espagne,44
RES005265,CLI08260,Essaouira,2021-12-27,2022-01-21,4,4,169.63,983.85,France,32
RES006930,CLI05550,Chefchaouen,2021-12-27,2022-05-27,3,2,562.54,1940.76,Maroc,64
RES001204,CLI06360,Fes,2021-12-27,2022-01-04,4,3,159.5,829.4,Maroc,58
RES023321,CLI03389,Marrakech,2021-12-27,2022-01-06,6,4,216.68,1885.12,Belgique,44
RES002933,CLI04228,Tanger,2021-12-27,2022-01-20,6,2,146.26,1009.19,Autre,23
RES017402,CLI03749,Essaouira,2021-12-27,2022-02-14,6,2,203.58,1404.7,France,41
RES021579,CLI08120,Tanger,2021-12-27,2022-01-10,1,1,195.01,195.01,Espagne,61
RES014854,CLI05250,Casablanca,2021-12-27,2022-01-24,5,6,194.39,1700.91,Espagne,43
RES017193,CLI05140,Chefchaouen,2021-12-27,2022-01-01,3,2,164.65,568.04,Maroc,37
RES022104,CLI04217,Fes,2021-12-28,2022-03-04,5,2,460.49,2647.82,Belgique,36
RES023565,CLI03698,Fes,2021-12-28,2022-01-31,5,3,199.92,1299.48,Maroc,40
RES006888,CLI05715,Merzouga,2021-12-28,2022-02-09,5,4,255.31,1851.0,Royaume-Uni,26
RES018844,CLI06538,Fes,2021-12-28,2022-03-06,3,3,607.23,2368.2,France,33
RES017589,CLI06231,Marrakech,2021-12-28,2022-01-05,5,5,257.32,2058.56,Espagne,34
RES002888,CLI03286,Essaouira,2021-12-28,2022-03-02,2,4,157.4,456.46,Etats-Unis,36
RES020843,CLI02180,Marrakech,2021-12-28,2022-02-01,3,2,216.81,747.99,Espagne,41
RES014446,CLI08046,Marrakech,2021-12-28,2022-01-21,3,2,184.24,635.63,Espagne,40
RES016525,CLI07023,Agadir,2021-12-29,2022-01-08,2,4,212.08,615.03,Maroc,36
RES000918,CLI04966,Essaouira,2021-12-29,2022-03-15,10,3,170.19,2212.47,Etats-Unis,33
RES005739,CLI02815,Marrakech,2021-12-29,2022-01-12,7,4,202.89,2059.33,Maroc,30
RES019711,CLI06694,Marrakech,2021-12-29,2022-01-01,2,4,218.78,634.46,Maroc,34
RES016356,CLI06529,Marrakech,2021-12-29,2022-01-05,3,4,272.65,1186.03,Maroc,42
RES024629,CLI00544,Tanger,2021-12-29,2022-02-23,5,2,162.82,936.21,Etats-Unis,24
RES020231,CLI00278,Chefchaouen,2021-12-29,2022-01-08,3,3,153.96,600.44,Maroc,31
RES011694,CLI02378,Agadir,2021-12-29,2022-01-16,2,3,182.59,474.73,Espagne,38
RES018952,CLI04572,Marrakech,2021-12-30,2022-02-15,6,3,222.37,1734.49,Royaume-Uni,18
RES018900,CLI07906,Casablanca,2021-12-30,2022-01-25,7,4,179.39,1820.81,Maroc,42
RES003709,CLI06552,Essaouira,2021-12-30,2022-01-01,5,2,177.05,1018.04,Espagne,28
RES015038,CLI04519,Marrakech,2021-12-30,2022-02-22,4,2,236.12,1086.15,Autre,41
RES005046,CLI06039,Chefchaouen,2021-12-30,2022-01-05,5,2,148.05,851.29,Maroc,38
